item_id,store_id,qty_sold,date,weekday
item1,storeA,38,4/26/23,Wednesday
item1,storeB,28,4/26/23,Wednesday
item1,storeC,14,4/26/23,Wednesday
item2,storeA,42,4/26/23,Wednesday
item2,storeB,7,4/26/23,Wednesday
item2,storeC,20,4/26/23,Wednesday
item3,storeA,38,4/26/23,Wednesday
item3,storeB,18,4/26/23,Wednesday
item3,storeC,22,4/26/23,Wednesday
item4,storeA,10,4/26/23,Wednesday
item4,storeB,10,4/26/23,Wednesday
item4,storeC,23,4/26/23,Wednesday
item1,storeA,26,4/27/23,Thursday
item1,storeB,41,4/27/23,Thursday
item1,storeC,27,4/27/23,Thursday
item2,storeA,15,4/27/23,Thursday
item2,storeB,14,4/27/23,Thursday
item2,storeC,46,4/27/23,Thursday
item3,storeA,50,4/27/23,Thursday
item3,storeB,43,4/27/23,Thursday
item3,storeC,2,4/27/23,Thursday
item4,storeA,36,4/27/23,Thursday
item4,storeB,50,4/27/23,Thursday
item4,storeC,6,4/27/23,Thursday
item1,storeA,34,4/28/23,Friday
item1,storeB,13,4/28/23,Friday
item1,storeC,16,4/28/23,Friday
item2,storeA,35,4/28/23,Friday
item2,storeB,49,4/28/23,Friday
item2,storeC,39,4/28/23,Friday
item3,storeA,3,4/28/23,Friday
item3,storeB,1,4/28/23,Friday
item3,storeC,5,4/28/23,Friday
item4,storeA,41,4/28/23,Friday
item4,storeB,3,4/28/23,Friday
item4,storeC,28,4/28/23,Friday
item1,storeA,46,4/29/23,Saturday
item1,storeB,23,4/29/23,Saturday
item1,storeC,25,4/29/23,Saturday
item2,storeA,24,4/29/23,Saturday
item2,storeB,44,4/29/23,Saturday
item2,storeC,40,4/29/23,Saturday
item3,storeA,28,4/29/23,Saturday
item3,storeB,14,4/29/23,Saturday
item3,storeC,44,4/29/23,Saturday
item4,storeA,0,4/29/23,Saturday
item4,storeB,24,4/29/23,Saturday
item4,storeC,6,4/29/23,Saturday
item1,storeA,6,4/30/23,Sunday
item1,storeB,8,4/30/23,Sunday
item1,storeC,7,4/30/23,Sunday
item2,storeA,11,4/30/23,Sunday
item2,storeB,33,4/30/23,Sunday
item2,storeC,32,4/30/23,Sunday
item3,storeA,47,4/30/23,Sunday
item3,storeB,22,4/30/23,Sunday
item3,storeC,23,4/30/23,Sunday
item4,storeA,36,4/30/23,Sunday
item4,storeB,34,4/30/23,Sunday
item4,storeC,43,4/30/23,Sunday
item1,storeA,14,5/1/23,Monday
item1,storeB,25,5/1/23,Monday
item1,storeC,41,5/1/23,Monday
item2,storeA,12,5/1/23,Monday
item2,storeB,50,5/1/23,Monday
item2,storeC,31,5/1/23,Monday
item3,storeA,38,5/1/23,Monday
item3,storeB,48,5/1/23,Monday
item3,storeC,31,5/1/23,Monday
item4,storeA,3,5/1/23,Monday
item4,storeB,29,5/1/23,Monday
item4,storeC,36,5/1/23,Monday
item1,storeA,27,5/2/23,Tuesday
item1,storeB,43,5/2/23,Tuesday
item1,storeC,43,5/2/23,Tuesday
